,US S&P 500
2004-11-16,130.27907912123212
2004-11-17,130.92127018319587
2004-11-18,131.19904008767702
2004-11-19,129.686017430129
2004-11-22,130.43807472253377
2004-11-23,130.41337506630438
2004-11-24,130.95622762015435
2004-11-25,130.95622762015435
2004-11-26,131.0548912742728
2004-11-29,130.40770629274357
2004-11-30,129.99213120241436
2004-12-01,131.97849645229255
2004-12-02,131.8952194692678
2004-12-03,131.89332987808086
2004-12-06,131.7572793126207
2004-12-07,130.39528897922935
2004-12-08,130.96567557608913
2004-12-09,131.74216258312512
2004-12-10,131.5500991360519
2004-12-13,132.8309720192036
2004-12-14,133.39150574773146
2004-12-15,133.55374064821075
2004-12-16,133.20511107421908
2004-12-17,132.39447645501895
2004-12-20,132.3172731579523
2004-12-21,133.4576414392746
2004-12-22,134.07580769900432
2004-12-23,134.11117004836004
2004-12-24,134.11117004836004
2004-12-27,133.55374064821075
2004-12-28,134.45817997276288
2004-12-29,134.47167705266963
2004-12-30,134.37962696770552
2004-12-31,134.1234523910752
2005-01-03,133.06501138478689
2005-01-04,131.58046756584213
2005-01-05,131.01696447973478
2005-01-06,131.5430806545004
2005-01-07,131.28393672029054
2005-01-10,131.66279975327336
2005-01-11,130.95663253255157
2005-01-12,131.47127618939643
2005-01-13,130.27368028926944
2005-01-14,130.98119721798187
2005-01-17,130.98119721798187
2005-01-18,132.31781304114853
2005-01-19,130.97120937885086
2005-01-20,130.0257389313822
2005-01-21,129.16745962011117
2005-01-24,128.79197085710504
2005-01-25,129.30432001036573
2005-01-26,129.81396974764507
2005-01-27,129.9151978469458
2005-01-28,129.5333654563835
2005-01-31,130.53565861025967
2005-02-01,131.41985231495167
2005-02-02,131.98915914541885
2005-02-03,131.58046756584213
2005-02-04,132.93732900886891
2005-02-07,132.87969647766704
2005-02-08,132.98780808772023
2005-02-09,131.82004073418713
2005-02-10,132.4221454688278
2005-02-11,133.37490433944615
2005-02-14,133.48773992746666
2005-02-15,133.84811196097723
2005-02-16,133.78710515979867
2005-02-17,132.78751142190387
2005-02-18,132.8911689955878
2005-02-21,132.8911689955878
2005-02-22,130.93004328513527
2005-02-23,131.7452669115037
2005-02-24,132.72178064275792
2005-02-25,133.96810100134832
2005-02-28,133.02101090429085
2005-03-01,133.86349863207093
2005-03-02,133.81018516643923
2005-03-03,133.80478633447652
2005-03-04,135.2013291924292
2005-03-07,135.42875498885815
2005-03-08,134.79830638641332
2005-03-09,133.43928541060143
2005-03-10,133.63944710561867
2005-03-11,132.75430860533322
2005-03-14,133.43726084861538
2005-03-15,132.49448981712806
2005-03-16,131.3103909969078
2005-03-17,131.56440604075308
2005-03-18,131.2453350717572
2005-03-21,130.75012720997813
2005-03-22,129.408652438045
2005-03-23,129.38017359944175
2005-03-24,129.44725408657837
2005-03-25,129.44725408657837
2005-03-28,129.78846026662129
2005-03-29,128.6767057947013
2005-03-30,130.5066398884601
2005-03-31,130.28393806999853
2005-04-01,129.4842360855229
2005-04-04,129.86566356368797
2005-04-05,130.4359151897487
2005-04-06,130.80195599682008
2005-04-07,131.56697048593534
2005-04-08,130.3608714254671
2005-04-11,130.43470045255708
2005-04-12,131.0347806252117
2005-04-13,129.54443306190706
2005-04-14,128.1944551296327
2005-04-15,126.06043182557454
2005-04-18,126.43052175661795
2005-04-19,127.17569553827029
2005-04-20,125.43956614986347
2005-04-21,127.98592524507322
2005-04-22,127.12089739384882
2005-04-25,128.30175691489146
2005-04-26,127.02277362292666
2005-04-27,127.48639831772395
2005-04-28,125.99659063761554
2005-04-29,127.5012451056214
2005-05-02,128.21092156711896
2005-05-03,128.185142144497
2005-05-04,129.57493646249634
2005-05-05,129.33441849855782
2005-05-06,129.11347130048415
2005-05-09,129.9806586844936
2005-05-10,128.48815158840384
2005-05-11,129.0874219362641
2005-05-12,127.79264706080839
2005-05-13,127.32537815443628
2005-05-16,128.5758826077978
2005-05-17,129.386652197797
2005-05-18,130.71085070744942
2005-05-19,131.3082314641227
2005-05-20,131.07473198173574
2005-05-23,131.63931483423562
2005-05-24,131.56035691678105
2005-05-25,131.23075822545792
2005-05-26,131.98133083907294
2005-05-27,132.1762286729266
2005-05-30,132.1762286729266
2005-05-31,131.3029676029591
2005-06-01,132.31200929678863
2005-06-02,132.71246765762228
2005-06-03,131.90169806762307
2005-06-06,131.94313410293682
2005-06-07,131.94866790569858
2005-06-08,131.68709449710553
2005-06-09,132.33724883621426
2005-06-10,132.03680383748974
2005-06-13,132.32496649349912
2005-06-14,132.68776800139287
2005-06-15,132.90858022866752
2005-06-16,133.29000770683263
2005-06-17,133.98929141680196
2005-06-20,133.89116764587982
2005-06-21,133.671975068194
2005-06-22,133.72974257019493
2005-06-23,132.15058422110374
2005-06-24,131.15045060001268
2005-06-27,131.0702779453665
2005-06-28,132.33360462463943
2005-06-29,131.9932082693909
2005-06-30,131.05192191669332
2005-07-01,131.55765750079968
2005-07-04,131.55765750079968
2005-07-05,132.5892393180735
2005-07-06,131.46493256184024
2005-07-07,131.67157285521276
2005-07-08,133.33481801212307
2005-07-11,134.2612575769232
2005-07-12,134.43037598815494
2005-07-13,134.50447495684307
2005-07-14,134.98929006709398
2005-07-15,135.02937639441706
2005-07-18,134.29945431305936
2005-07-19,135.2113170315602
2005-07-20,135.72798525039107
2005-07-21,134.87186547190512
2005-07-22,135.6152846331696
2005-07-25,135.09105804959097
2005-07-26,135.3722022240488
2005-07-27,135.9825401774326
2005-07-28,136.7291986378747
2005-07-29,135.76334759974677
2005-08-01,135.59638872130014
2005-08-02,136.63174972094785
2005-08-03,136.8066718765395
2005-08-04,135.6966720250074
2005-08-05,134.70882074663143
2005-08-08,134.304718174223
2005-08-09,135.3340054879127
2005-08-10,135.08309477244597
2005-08-11,135.981325440241
2005-08-12,135.04827230628652
2005-08-15,135.6003028744731
2005-08-16,133.85472553013156
2005-08-17,134.00913212426488
2005-08-18,133.7594361459898
2005-08-19,133.9566284834276
2005-08-22,134.13573473379031
2005-08-23,133.71098162912452
2005-08-24,132.72164567195887
2005-08-25,133.0702752459505
2005-08-26,132.2792113926152
2005-08-29,133.16151550612022
2005-08-30,132.6781850746591
2005-08-31,133.9488001770817
2005-09-01,134.05529213754605
2005-09-02,133.55994930496786
2005-09-05,133.55994930496786
2005-09-06,135.4089142813952
2005-09-07,135.6386345814083
2005-09-08,135.1534145587602
2005-09-09,136.14167074953335
2005-09-12,136.03652849705966
2005-09-13,135.08322974324503
2005-09-14,134.64997347823797
2005-09-15,134.61123685890556
2005-09-16,135.69599717101204
2005-09-19,134.93557168906506
2005-09-20,133.97269000851665
2005-09-21,132.61461382829825
2005-09-22,133.15692649895192
2005-09-23,133.33954199009042
2005-09-26,133.26409331341162
2005-09-27,133.28109963409415
2005-09-28,133.3788184926191
2005-09-29,134.5426716929792
2005-09-30,134.66387547054194
2005-10-03,134.42403236059877
2005-10-04,133.00400458360832
2005-10-05,131.0285719684546
2005-10-06,130.44576805808063
2005-10-07,131.02128354530498
2005-10-10,130.00535834072298
2005-10-11,129.7389259833635
2005-10-12,128.90548129912094
2005-10-13,128.84285484835354
2005-10-14,129.90615480340827
2005-10-17,130.25586414379248
2005-10-18,128.89670819718154
2005-10-19,130.84744115610584
2005-10-20,128.61691373071434
2005-10-21,129.03788765300627
2005-10-24,131.25424314449566
2005-10-25,130.8890121622187
2005-10-26,130.3462945791678
2005-10-27,128.95447569918247
2005-10-28,130.931527963925
2005-10-31,131.739868079541
2005-11-01,131.49988999879872
2005-11-02,132.84257950792343
2005-11-03,133.43253687064802
2005-11-04,133.34413099725873
2005-11-07,133.63323844886156
2005-11-08,133.24033845277572
2005-11-09,133.4330767538443
2005-11-10,134.5835678450967
2005-11-11,134.94016069623336
2005-11-14,134.95190315575226
2005-11-15,134.43240055014095
2005-11-16,134.68655056478528
2005-11-17,135.80572843065403
2005-11-18,136.39582076417767
2005-11-21,137.115080152409
2005-11-22,137.6900557564371
2005-11-23,138.26584118525955
2005-11-24,138.26584118525955
2005-11-25,138.554138812068
2005-11-28,137.49893710495732
2005-11-29,137.3807026849741
2005-11-30,136.45736744855247
2005-12-01,138.17487086668797
2005-12-02,138.14841659007072
2005-12-05,137.8958862250152
2005-12-06,138.05825609629355
2005-12-07,137.23317960159318
2005-12-08,137.1396448378393
2005-12-09,137.4912437694105
2005-12-12,137.52782085595777
2005-12-13,138.3014734762134
2005-12-14,138.93313681584988
2005-12-15,138.6395753278778
2005-12-16,138.3736828537146
2005-12-19,137.4697834123587
2005-12-20,137.4098563775727
2005-12-21,137.68627657406319
2005-12-22,138.28554692192344
2005-12-23,138.40418625430388
2005-12-26,138.40418625430388
2005-12-27,137.02451474623464
2005-12-28,137.07782821186635
2005-12-29,136.58194549609192
2005-12-30,135.7969553287146
2006-01-02,135.7969553287146
2006-01-03,138.29121569548425
2006-01-04,138.8154422790629
2006-01-05,138.6903243483272
2006-01-06,139.99630180010553
2006-01-09,140.4784174943751
2006-01-10,140.4983931726371
2006-01-11,140.9131584381719
2006-01-12,140.09631516221464
2006-01-13,140.12506394241603
2006-01-16,140.12506394241603
2006-01-17,139.6633288388057
2006-01-18,139.05865965898278
2006-01-19,139.69693656777355
2006-01-20,137.24195270353258
2006-01-23,137.45169732528367
2006-01-24,137.70017856636716
2006-01-25,137.60003023345897
2006-01-26,138.49596639766986
2006-01-27,139.52214938298098
2006-01-30,139.70557469891386
2006-01-31,139.0664879653287
2006-02-01,139.33777927145462
2006-02-02,138.11129962032715
2006-02-03,137.24829633108874
2006-02-06,137.4206540414981
2006-02-07,136.3327894010131
2006-02-08,137.48422528785895
2006-02-09,137.3114626650524
2006-02-10,137.66522112940865
2006-02-13,137.19700742744305
2006-02-14,138.53956196576868
2006-02-15,138.9010137656718
2006-02-16,139.98051021661462
2006-02-17,139.71853189562438
2006-02-20,139.71853189562438
2006-02-21,139.3407486290341
2006-02-22,140.2086108670389
2006-02-23,139.7892565943358
2006-02-24,139.97389664746032
2006-02-27,140.46707994725338
2006-02-28,138.93381166984523
2006-03-01,140.04624099576054
2006-03-02,139.88117170850086
2006-03-03,139.59354893568775
2006-03-06,138.71191967617804
2006-03-07,138.35978086141063
2006-03-08,138.64443427664423
2006-03-09,137.98024297443246
2006-03-10,139.00831555093055
2006-03-13,139.31105505323922
2006-03-14,140.72473920267348
2006-03-15,141.35410803872583
2006-03-16,141.57465032440228
2006-03-17,141.68046743087132
2006-03-20,141.47355719590064
2006-03-21,140.54765751429676
2006-03-22,141.39810851922186
2006-03-23,141.05123356561805
2006-03-24,141.1223631767267
2006-03-27,141.01965039863623
2006-03-28,140.04799561614846
2006-03-29,141.0573072515761
2006-03-30,140.80612659451128
2006-03-31,140.25058678554893
2006-04-03,140.43509186787438
2006-04-04,141.3566724839081
2006-04-05,141.85754911924803
2006-04-06,141.58234365994915
2006-04-07,140.17014418930464
2006-04-10,140.25355614312843
2006-04-11,139.14666061997488
2006-04-12,139.30228195129982
2006-04-13,139.30768078326253
2006-04-14,139.30768078326253
2006-04-17,138.92355388911608
2006-04-18,141.28999690916868
2006-04-19,141.51647791000414
2006-04-20,141.65320332945964
2006-04-21,141.66670040936643
2006-04-24,141.31591130258968
2006-04-25,140.65414947476114
2006-04-26,140.90735469381198
2006-04-27,141.3870409136983
2006-04-28,141.5916566450848
2006-05-01,140.8339305791192
2006-05-02,141.71137574385781
2006-05-03,141.172842255578
2006-05-04,141.56236798168715
2006-05-05,143.05878923094988
2006-05-08,142.88076274697968
2006-05-09,142.85295876237174
2006-05-10,142.69963193463093
2006-05-11,140.91707259134486
2006-05-12,139.21036683713476
2006-05-15,139.56534003868262
2006-05-16,139.27339820029934
2006-05-17,136.88819423917633
2006-05-18,135.9462330324834
2006-05-19,136.5791111093115
2006-05-22,135.98793900939532
2006-05-23,135.3797605887966
2006-05-24,135.500289512364
2006-05-25,137.1459884653955
2006-05-26,137.86079381725762
2006-05-29,137.86079381725762
2006-05-30,135.60583667723486
2006-05-31,136.79142017624486
2006-06-01,138.3419647159337
2006-06-02,138.70517113622466
2006-06-05,136.27502189901216
2006-06-06,136.0008962061058
2006-06-07,135.0829598016469
2006-06-08,135.18675234612988
2006-06-09,134.58424269909204
2006-06-12,133.033293247006
2006-06-13,131.57101960990738
2006-06-14,132.29486800530702
2006-06-15,135.18661737533083
2006-06-16,134.5839727574939
2006-06-19,133.25774968585546
2006-06-20,133.36734597469834
2006-06-21,134.62878306278435
2006-06-22,133.91586730210918
2006-06-23,133.8374492678509
2006-06-26,134.47316173145938
2006-06-27,133.20673072380788
2006-06-28,134.0108867446528
2006-06-29,136.7773832131418
2006-06-30,136.4873309659455
2006-07-03,137.56088870172937
2006-07-04,137.56088870172937
2006-07-05,136.42348977798653
2006-07-06,136.72474460150545
2006-07-07,135.88225687372534
2006-07-10,136.0130435780219
2006-07-11,136.59800702118096
2006-07-12,135.17608965300357
2006-07-13,133.16434989290067
2006-07-14,132.50974151742267
2006-07-17,132.28029115900773
2006-07-18,132.58127604092854
2006-07-19,134.99941287702404
2006-07-20,133.87065208442152
2006-07-21,132.84230956632533
2006-07-24,135.1238559537644
2006-07-25,135.94434344129647
2006-07-26,135.8725389761925
2006-07-27,135.33508525430523
2006-07-28,136.81895421925466
